stdntid,female,white,black,asian,age,yearssmall,kinnercity,ksuburban,krural,ktwhite,gkthighdegree,gktyears,gkfreelunch,gkabsent,gktreadss,gktmathss,gktlstnss,gktwordss,1innercity,1suburban,1rural,1twhite,g1thighdegree,g1tyears,g1freelunch,g1absent,g1treadss,g1tmathss,g1tlstnss,g1twordss,g1readbsraw,g1mathbsraw,2innercity,2suburban,2rural,2twhite,g2thighdegree,g2tyears,g2freelunch,g2treadss,g2tmathss,g2tlstnss,g2twordss,g2readbsraw,g2mathbsraw,3innercity,3suburban,3rural,3twhite,3tblack,g3thighdegree,g3tyears,g3freelunch,g3absent,g3treadss,g3tmathss,g3tlstnss,g3twordss
10246,1.0,1,0,0,4.958349589656187,0,0,0,0,1,3.0,8.0,0.0,28.0,450.0,494.0,549.0,444.0,0,0,0,1,3.0,8.0,1.0,15.0,579.0,572.0,588.0,551.0,30.0,40.0,0,0,0,1,2.0,1.0,0.0,669.0,620.0,622.0,672.0,45.0,57.0,0,0,0,1,0,3.0,7.0,0.0,19.0,636.0,618.0,660.0,624.0
10263,1.0,0,1,0,5.763294249710809,4,0,1,0,1,2.0,3.0,1.0,2.0,483.0,513.0,554.0,431.0,0,1,0,1,2.0,1.0,1.0,5.0,512.0,562.0,584.0,506.0,30.0,42.0,0,1,0,1,2.0,2.0,1.0,538.0,577.0,606.0,525.0,41.0,57.0,0,1,0,1,0,2.0,3.0,1.0,3.0,582.0,591.0,610.0,577.0
10281,0.0,1,0,0,5.763294249710809,4,0,1,0,1,3.0,7.0,0.0,2.0,443.0,473.0,595.0,444.0,0,1,0,1,2.0,19.0,0.0,2.0,495.0,526.0,625.0,506.0,32.0,43.0,0,1,0,1,3.0,17.0,0.0,575.0,557.0,649.0,583.0,43.0,55.0,0,1,0,1,0,3.0,17.0,0.0,1.0,636.0,622.0,643.0,611.0
10300,1.0,1,0,0,5.054176334900785,0,0,0,1,1,2.0,13.0,0.0,2.0,497.0,547.0,524.0,512.0,0,0,1,1,2.0,16.0,0.0,3.0,558.0,572.0,571.0,601.0,31.0,44.0,0,0,1,1,2.0,25.0,0.0,622.0,632.0,596.0,605.0,40.0,57.0,0,0,1,1,0,2.0,37.0,0.0,2.0,629.0,636.0,606.0,641.0
10312,0.0,0,1,0,5.245829825389981,0,1,0,0,0,2.0,1.0,0.0,7.0,411.0,444.0,505.0,405.0,1,0,0,1,2.0,1.0,1.0,2.0,516.0,493.0,526.0,506.0,26.0,40.0,1,0,0,0,2.0,12.0,1.0,547.0,535.0,529.0,567.0,35.0,45.0,1,0,0,0,1,3.0,14.0,0.0,8.0,583.0,606.0,580.0,581.0
10316,1.0,1,0,0,5.185595871236234,4,0,1,0,1,3.0,18.0,0.0,19.0,503.0,576.0,671.0,480.0,0,1,0,1,2.0,18.0,0.0,12.0,579.0,627.0,685.0,536.0,31.0,43.0,0,1,0,1,2.0,19.0,0.0,659.0,615.0,677.0,648.0,48.0,60.0,0,1,0,1,0,3.0,13.0,0.0,6.0,661.0,648.0,677.0,664.0
10329,1.0,1,0,0,5.626398899361383,0,0,1,0,1,3.0,15.0,0.0,5.0,495.0,576.0,607.0,512.0,0,1,0,1,2.0,3.0,0.0,6.0,579.0,562.0,645.0,536.0,32.0,43.0,0,1,0,1,3.0,15.0,0.0,669.0,659.0,656.0,672.0,48.0,59.0,0,1,0,1,0,3.0,21.0,0.0,4.0,675.0,648.0,731.0,655.0
10330,1.0,1,0,0,5.19107168525021,3,0,1,0,1,2.0,16.0,1.0,10.0,451.0,528.0,578.0,468.0,0,1,0,1,2.0,20.0,1.0,11.0,564.0,545.0,601.0,577.0,32.0,41.0,0,1,0,0,3.0,15.0,1.0,643.0,593.0,631.0,648.0,46.0,58.0,0,1,0,1,0,2.0,5.0,0.0,10.0,644.0,651.0,689.0,664.0
10379,1.0,1,0,0,5.826266110871544,4,0,0,1,1,2.0,2.0,0.0,1.0,431.0,500.0,549.0,414.0,0,0,1,1,2.0,19.0,1.0,0.0,604.0,553.0,556.0,601.0,29.0,44.0,0,0,1,1,6.0,12.0,0.0,604.0,648.0,617.0,672.0,44.0,59.0,0,0,1,1,0,3.0,3.0,1.0,0.0,614.0,636.0,619.0,620.0
10395,1.0,1,0,0,5.147265173138394,4,0,0,1,1,2.0,2.0,1.0,5.0,445.0,468.0,520.0,440.0,0,0,1,1,2.0,15.0,1.0,1.0,590.0,538.0,568.0,577.0,27.0,37.0,0,0,1,1,2.0,5.0,1.0,709.0,620.0,649.0,648.0,46.0,57.0,0,0,1,1,0,2.0,31.0,1.0,0.0,665.0,631.0,640.0,691.0
10473,0.0,0,1,0,6.754416586240648,3,1,0,0,1,3.0,17.0,1.0,17.0,414.0,463.0,509.0,410.0,1,0,0,0,3.0,25.0,1.0,22.0,487.0,497.0,529.0,493.0,26.0,40.0,1,0,0,0,2.0,4.0,1.0,530.0,530.0,537.0,553.0,33.0,42.0,1,0,0,0,1,3.0,29.0,1.0,18.0,587.0,616.0,629.0,581.0
10491,0.0,0,1,0,5.073341683949705,0,1,0,0,0,2.0,20.0,1.0,5.0,485.0,536.0,545.0,463.0,1,0,0,1,2.0,5.0,1.0,6.0,524.0,523.0,534.0,577.0,29.0,44.0,1,0,0,0,2.0,35.0,1.0,586.0,615.0,602.0,560.0,48.0,57.0,1,0,0,1,0,2.0,4.0,0.0,2.0,618.0,616.0,617.0,607.0
10984,1.0,1,0,0,6.814650540394395,0,0,0,1,1,3.0,5.0,0.0,6.0,436.0,459.0,545.0,435.0,0,0,1,1,3.0,15.0,0.0,3.0,524.0,505.0,541.0,506.0,30.0,35.0,0,0,1,1,3.0,20.0,0.0,569.0,535.0,554.0,621.0,42.0,53.0,0,0,1,1,0,2.0,9.0,0.0,0.0,577.0,579.0,590.0,588.0
11106,1.0,0,1,0,5.683894946508142,0,1,0,0,0,2.0,10.0,1.0,11.0,440.0,559.0,565.0,427.0,1,0,0,0,2.0,35.0,1.0,10.0,465.0,490.0,529.0,475.0,28.0,39.0,1,0,0,0,3.0,32.0,1.0,550.0,540.0,572.0,560.0,39.0,55.0,1,0,0,0,1,2.0,18.0,1.0,20.0,616.0,594.0,612.0,577.0
